_id,Serial No,Timestamp,Temperature,Humidity,latitude,longitude
1,1392904597,2014-02-20T19:26:37,29.4,73,13.00361,77.61818
2,1392904853,2014-02-20T19:30:53,30.1,61,13.00361,77.61818
3,1392904956,2014-02-20T19:32:36,30.4,59,13.00361,77.61818
4,1392905507,2014-02-20T19:41:47,30.4,49,13.00361,77.61818
5,1392905712,2014-02-20T19:45:12,30,57,13.00361,77.61818
6,1392906064,2014-02-20T19:51:04,30.8,59,13.00361,77.61818
7,1392906371,2014-02-20T19:56:11,30.2,48,13.00361,77.61818
8,1392906680,2014-02-20T20:01:20,29,50,13.00361,77.61818
9,1392906936,2014-02-20T20:05:36,28.3,51,13.00361,77.61818
10,1392907244,2014-02-20T20:10:44,27.6,52,13.00361,77.61818
11,1392907551,2014-02-20T20:15:51,27,53,13.00361,77.61818
12,1392907858,2014-02-20T20:20:58,26.6,54,13.00361,77.61818
13,1392908167,2014-02-20T20:26:07,26.2,55,13.00361,77.61818
14,1392908475,2014-02-20T20:31:15,25.9,55,13.00361,77.61818
15,1392908781,2014-02-20T20:36:21,25.6,56,13.00361,77.61818
16,1392909089,2014-02-20T20:41:29,25.4,56,13.00361,77.61818
17,1392909396,2014-02-20T20:46:36,25.2,57,13.00361,77.61818
18,1392909704,2014-02-20T20:51:44,25.1,57,13.00361,77.61818
19,1392910012,2014-02-20T20:56:52,24.9,57,13.00361,77.61818
20,1392910319,2014-02-20T21:01:59,24.8,58,13.00361,77.61818
21,1392910620,2014-02-20T21:07:00,24.8,58,13.00361,77.61818
22,1392910877,2014-02-20T21:11:17,24.6,58,13.00361,77.61818
23,1392911184,2014-02-20T21:16:24,24.6,58,13.00361,77.61818
24,1392911492,2014-02-20T21:21:32,24.5,59,13.00361,77.61818
25,1392911800,2014-02-20T21:26:40,24.4,59,13.00361,77.61818
26,1392912107,2014-02-20T21:31:47,24.3,59,13.00361,77.61818
27,1392912415,2014-02-20T21:36:55,24.3,60,13.00361,77.61818
28,1392912723,2014-02-20T21:42:03,24.2,60,13.00361,77.61818
29,1392913030,2014-02-20T21:47:10,24.2,61,13.00361,77.61818
30,1392913338,2014-02-20T21:52:18,24.1,61,13.00361,77.61818
31,1392913645,2014-02-20T21:57:25,24.1,61,13.00361,77.61818
32,1392913953,2014-02-20T22:02:33,24,62,13.00361,77.61818
33,1392914261,2014-02-20T22:07:41,24,62,13.00361,77.61818
34,1392914568,2014-02-20T22:12:48,23.9,62,13.00361,77.61818
35,1392914876,2014-02-20T22:17:56,23.9,63,13.00361,77.61818
36,1392915183,2014-02-20T22:23:03,23.8,63,13.00361,77.61818
37,1392915491,2014-02-20T22:28:11,23.8,63,13.00361,77.61818
38,1392915799,2014-02-20T22:33:19,23.7,63,13.00361,77.61818
39,1392916105,2014-02-20T22:38:25,23.6,64,13.00361,77.61818
40,1392916413,2014-02-20T22:43:33,23.6,64,13.00361,77.61818
41,1392916721,2014-02-20T22:48:41,23.6,64,13.00361,77.61818
42,1392917028,2014-02-20T22:53:48,23.5,64,13.00361,77.61818
43,1392917284,2014-02-20T22:58:04,23.4,65,13.00361,77.61818
44,1392917592,2014-02-20T23:03:12,23.4,65,13.00361,77.61818
45,1392917900,2014-02-20T23:08:20,23.3,65,13.00361,77.61818
46,1392918207,2014-02-20T23:13:27,23.3,65,13.00361,77.61818
47,1392918516,2014-02-20T23:18:36,23.2,66,13.00361,77.61818
48,1392918824,2014-02-20T23:23:44,23.2,66,13.00361,77.61818
49,1392919130,2014-02-20T23:28:50,23.1,67,13.00361,77.61818
50,1392919438,2014-02-20T23:33:58,23,67,13.00361,77.61818
51,1392919746,2014-02-20T23:39:06,23,68,13.00361,77.61818
52,1392920054,2014-02-20T23:44:14,22.9,68,13.00361,77.61818
53,1392920361,2014-02-20T23:49:21,22.9,68,13.00361,77.61818
54,1392920668,2014-02-20T23:54:28,22.8,69,13.00361,77.61818
55,1392920976,2014-02-20T23:59:36,22.7,69,13.00361,77.61818
56,1392921232,2014-02-21T00:03:52,22.7,70,13.00361,77.61818
57,1392921540,2014-02-21T00:09:00,22.6,70,13.00361,77.61818
58,1392921847,2014-02-21T00:14:07,22.6,70,13.00361,77.61818
59,1392922155,2014-02-21T00:19:15,22.5,70,13.00361,77.61818
60,1392922463,2014-02-21T00:24:23,22.5,71,13.00361,77.61818
61,1392922771,2014-02-21T00:29:31,22.5,71,13.00361,77.61818
62,1392923079,2014-02-21T00:34:39,22.4,72,13.00361,77.61818
63,1392923386,2014-02-21T00:39:46,22.3,72,13.00361,77.61818
64,1392923693,2014-02-21T00:44:53,22.3,73,13.00361,77.61818
65,1392924001,2014-02-21T00:50:01,22.2,73,13.00361,77.61818
66,1392924308,2014-02-21T00:55:08,22.2,73,13.00361,77.61818
67,1392924616,2014-02-21T01:00:16,22.2,73,13.00361,77.61818
68,1392924924,2014-02-21T01:05:24,22.2,73,13.00361,77.61818
69,1392925180,2014-02-21T01:09:40,22.2,73,13.00361,77.61818
70,1392925488,2014-02-21T01:14:48,22.2,73,13.00361,77.61818
71,1392925795,2014-02-21T01:19:55,22.2,73,13.00361,77.61818
72,1392926103,2014-02-21T01:25:03,22.1,74,13.00361,77.61818
73,1392926410,2014-02-21T01:30:10,22.1,74,13.00361,77.61818
74,1392926718,2014-02-21T01:35:18,22.1,74,13.00361,77.61818
75,1392927025,2014-02-21T01:40:25,22,74,13.00361,77.61818
76,1392927332,2014-02-21T01:45:32,22,74,13.00361,77.61818
77,1392927640,2014-02-21T01:50:40,21.9,74,13.00361,77.61818
78,1392927948,2014-02-21T01:55:48,21.9,74,13.00361,77.61818
79,1392928255,2014-02-21T02:00:55,21.9,75,13.00361,77.61818
80,1392928563,2014-02-21T02:06:03,21.8,75,13.00361,77.61818
81,1392928870,2014-02-21T02:11:10,21.8,75,13.00361,77.61818
82,1392929178,2014-02-21T02:16:18,21.8,75,13.00361,77.61818
83,1392929435,2014-02-21T02:20:35,21.8,75,13.00361,77.61818
84,1392929743,2014-02-21T02:25:43,21.8,75,13.00361,77.61818
85,1392930050,2014-02-21T02:30:50,21.8,75,13.00361,77.61818
86,1392930357,2014-02-21T02:35:57,21.8,75,13.00361,77.61818
87,1392930665,2014-02-21T02:41:05,21.7,75,13.00361,77.61818
88,1392930972,2014-02-21T02:46:12,21.7,75,13.00361,77.61818
89,1392931281,2014-02-21T02:51:21,21.7,75,13.00361,77.61818
90,1392931589,2014-02-21T02:56:29,21.7,75,13.00361,77.61818
91,1392931895,2014-02-21T03:01:35,21.7,75,13.00361,77.61818
92,1392932203,2014-02-21T03:06:43,21.7,75,13.00361,77.61818
93,1392932510,2014-02-21T03:11:50,21.6,75,13.00361,77.61818
94,1392932766,2014-02-21T03:16:06,21.6,75,13.00361,77.61818
95,1392933075,2014-02-21T03:21:15,21.6,75,13.00361,77.61818
96,1392933382,2014-02-21T03:26:22,21.5,75,13.00361,77.61818
97,1392933690,2014-02-21T03:31:30,21.5,75,13.00361,77.61818
98,1392933997,2014-02-21T03:36:37,21.5,75,13.00361,77.61818
99,1392934305,2014-02-21T03:41:45,21.5,76,13.00361,77.61818
100,1392934613,2014-02-21T03:46:53,21.4,76,13.00361,77.61818
101,1392934920,2014-02-21T03:52:00,21.4,76,13.00361,77.61818
102,1392935228,2014-02-21T03:57:08,21.4,76,13.00361,77.61818
103,1392935534,2014-02-21T04:02:14,21.4,76,13.00361,77.61818
104,1392935842,2014-02-21T04:07:22,21.4,76,13.00361,77.61818
105,1392936151,2014-02-21T04:12:31,21.4,76,13.00361,77.61818
106,1392936407,2014-02-21T04:16:47,21.4,76,13.00361,77.61818
107,1392936715,2014-02-21T04:21:55,21.4,76,13.00361,77.61818
108,1392937022,2014-02-21T04:27:02,21.4,76,13.00361,77.61818
109,1392937330,2014-02-21T04:32:10,21.3,76,13.00361,77.61818
110,1392937637,2014-02-21T04:37:17,21.3,76,13.00361,77.61818
